id,num_orders
1028232,180.60735
1127204,193.79759
1212707,116.03059
1082698,42.93275
1400926,33.976288
1284113,179.68486
1197966,186.82817
1132739,190.00352
1057981,99.45945
1095932,84.345924
1454421,100.9801
1149765,165.8041
1166964,279.1135
1010949,257.84366
1409575,21.487667
1181616,24.376335
1456020,258.96466
1264395,112.27536
1472931,59.329773
1412015,114.99677
1461229,105.957466
1014564,105.82119
1485914,48.30856
1345389,94.0735
1006833,105.912155
1174921,20.136814
1175393,17.841486
1152412,23.472006
1497398,20.855038
1363486,19.559832
1366766,22.798792
1192413,20.322813
1319547,184.05984
1337684,78.77433
1479766,141.66484
1460444,1460.673
1139730,748.72375
1115056,370.47974
1335827,98.291855
1385333,463.18823
1096323,635.6612
1230693,889.6501
1027016,117.51901
1181520,90.435875
1306234,147.29964
1271440,952.55786
1269834,458.93765
1176823,804.8556
1193098,98.9055
1034878,91.029854
1010243,176.51707
1451807,207.9923
1016845,131.01144
1198021,171.37836
1413802,87.04921
1231223,123.366936
1274226,487.81635
1425142,345.5954
1211593,181.15245
1419190,46.72151
1180223,47.664257
1194932,120.2392
1323477,163.28867
1371595,169.13396
1171521,165.95343
1052384,161.97699
1060921,110.26232
1261811,108.30851
1246502,219.76276
1497466,297.61487
1232717,46.19721
1136112,38.791103
1196334,456.38174
1349533,307.8
1463406,209.98546
1447686,163.35664
1336105,129.4427
1012855,536.1694
1180646,422.7563
1062490,212.54126
1098228,1210.4683
1101375,803.2269
1400016,517.4125
1439889,41.6725
1408468,95.66213
1044490,80.62749
1290002,610.74036
1190633,709.6593
1040430,956.4594
1049366,106.012505
1224120,121.9206
1293810,210.93613
1197335,860.3206
1323989,497.26053
1129467,718.48724
1229328,71.8857
1164395,66.31281
1217722,100.44574
1171266,157.03452
1024905,92.345985
1343027,147.68631
1141892,54.16987
1302404,80.17594
1170447,579.9491
1140772,401.29205
1103484,207.84665
1387134,26.829689
1117711,26.363457
1472121,27.163773
1289523,401.8096
1091114,455.1695
1043572,541.08466
1103283,110.10365
1265051,111.94386
1168741,97.76725
1052776,101.524124
1206564,185.34041
1302153,356.2923
1083754,52.30397
1097952,44.043266
1251605,44.077522
1333032,516.6063
1086936,244.89445
1088412,151.07898
1236400,39.481052
1244516,66.125916
1380381,54.665672
1495062,493.64307
1439647,333.83838
1019214,369.74573
1316160,579.64276
1022008,544.1788
1138248,175.04105
1052922,36.632008
1181474,69.923294
1046475,45.219673
1216688,230.3497
1067565,445.17474
1008328,360.73428
1430287,154.67912
1406716,162.55437
1105380,154.94162
1248694,687.1186
1252163,264.42093
1443474,353.41782
1033716,61.24665
1300295,52.220387
1311882,51.801514
1257968,65.368805
1226362,244.12402
1030655,193.54114
1210527,79.59879
1278927,36.92075
1232239,50.7326
1133067,320.19537
1382522,344.2927
1219136,271.54214
1498130,23.627058
1251629,29.77659
1032092,24.846682
1249865,116.60069
1207630,144.65918
1144733,182.80113
1436768,48.34415
1148964,39.96472
1237346,281.34152
1206015,71.060165
1105113,135.27084
1430481,31.313435
1001589,58.810913
1224132,49.962456
1074380,394.14597
1097109,493.72122
1211246,236.19794
1390579,307.50586
1473058,279.9714
1186964,106.41063
1222837,40.27189
1342393,82.68491
1170472,140.67706
1170791,265.22507
1046653,255.44945
1195179,123.69462
1332509,135.0136
1438300,135.78021
1435748,714.0547
1052668,223.65694
1227060,307.70096
1342252,62.867622
1143109,52.145462
1394807,48.45264
1448374,53.66521
1028680,130.22127
1079691,90.219444
1402079,39.096123
1424446,67.04009
1133297,266.87338
1076214,431.3687
1173823,335.1041
1488584,22.096573
1072892,24.833706
1277491,23.333624
1290868,177.64313
1048888,214.52368
1138141,233.95241
1473125,37.21059
1196726,30.359552
1179278,29.304592
1282305,97.31818
1359903,49.295033
1355143,79.78876
1095889,37.51247
1250665,79.84166
1426610,59.73463
1390104,371.84604
1051519,419.53998
1337584,176.64311
1332667,2464.0784
1075942,1748.3708
1109804,709.63525
1316684,93.32482
1248315,174.65244
1113611,143.8779
1110867,673.69037
1247289,852.40326
1022953,1392.1248
1160081,106.126915
1120430,98.68357
1487280,198.23053
1020081,1459.8193
1329551,795.5739
1137610,1322.6268
1072530,195.24725
1115708,211.65692
1203532,134.38351
1494216,327.15915
1116374,327.99014
1032497,190.24469
1413930,269.68518
1136118,111.43302
1254872,180.07693
1398257,822.31525
1364001,682.04816
1369843,338.45038
1379360,60.752785
1442044,60.12923
1285290,60.889038
1129707,594.61163
1086750,642.8969
1147262,750.7719
1025605,196.94897
1414158,178.78372
1082079,151.52722
1467510,157.2126
1374892,288.82834
1171352,510.68384
1213246,116.8467
1279131,96.57447
1256386,114.19488
1234220,798.543
1008206,504.77487
1267686,330.89566
1470186,84.63798
1233312,135.79173
1279379,114.85342
1431703,836.10046
1339938,493.7264
1010552,388.97064
1237947,917.10004
1175098,677.6655
1066074,267.64822
1045918,59.51693
1226081,43.341442
1148633,305.21106
1441429,346.62573
1291804,577.17816
1305194,100.04736
1327840,103.69929
1320801,171.12863
1467101,423.86847
1473989,240.65298
1466330,369.3683
1390856,57.424377
1120639,85.347374
1279275,56.24102
1166120,84.99635
1128404,38.25666
1252491,45.659058
1328056,340.00146
1452353,212.27234
1353276,128.65181
1297182,21.468616
1469299,23.092167
1129687,206.0888
1362599,274.60196
1245170,359.1227
1098570,33.624603
1452600,30.435883
1194207,29.186161
1023619,89.23067
1254600,139.85387
1157094,219.66469
1165391,37.937077
1131248,39.782204
